"기준_년분기_코드","행정동_코드","행정동_코드_명","집객시설_수","관공서_수","은행_수","종합병원_수","일반_병원_수","약국_수","유치원_수","초등학교_수","중학교_수","고등학교_수","대학교_수","백화점_수","슈퍼마켓_수","극장_수","숙박_시설_수","공항_수","철도_역_수","버스_터미널_수","지하철_역_수","버스_정거장_수"
"20253","11200570","행당2동","79","2","2","","","4","1","1","1","1","","","","","","","","","1","24"
"20253","11200560","행당1동","130","9","4","","2","13","1","1","","","","","1","1","","","","","4","30"
"20253","11200550","사근동","128","5","3","1","","10","","2","1","2","52","","1","","","","","","2","34"
"20253","11200540","마장동","111","6","5","","","8","2","2","2","","","","","","","","","","1","29"
"20253","11200535","왕십리도선동","189","4","4","","2","20","2","2","","2","","","","","","","","","","26"
"20253","11200520","왕십리2동","63","2","","","","5","1","1","","","","","","","","","","","1","18"
"20253","11170700","보광동","70","4","1","","","8","1","","1","1","6","","","","","","","","","14"
"20253","11170690","서빙고동","61","15","1","","","1","","1","1","","","","","","","","","","1","21"
"20253","11170685","한남동","171","30","11","1","","13","3","1","","","","","3","","","","","","2","36"
"20253","11170660","이태원2동","60","8","5","","","3","1","1","","1","","","","","","","","","","22"
"20253","11170650","이태원1동","71","8","5","","","3","","1","","","","","3","","","","","","1","14"
"20253","11170640","이촌2동","26","2","","","","1","","","","","","","","","","","","","","11"
"20253","11170630","이촌1동","102","4","9","","1","12","2","1","1","1","","","1","","","","","","","14"
"20253","11170625","한강로동","242","19","19","","","21","","2","","1","","","5","3","2","","","","7","41"
"20253","11170590","용문동","54","1","","","","3","","","","","","","","","","","","","","22"
"20253","11170580","효창동","66","1","1","","","5","","1","","1","1","","","","","","","","2","22"
"20253","11170570","원효로2동","69","4","2","","","4","2","1","1","1","","","2","","","","","","","27"
