"기준_년분기_코드","행정동_코드","행정동_코드_명","상권_변화_지표","상권_변화_지표_명","운영_영업_개월_평균","폐업_영업_개월_평균","서울_운영_영업_개월_평균","서울_폐업_영업_개월_평균"
"20253","11110670","창신1동","HH","정체","134","73","113","53"
"20253","11110650","혜화동","LH","상권확장","111","54","113","53"
"20253","11110640","이화동","LH","상권확장","103","56","113","53"
"20253","11110630","종로5?6가동","HH","정체","143","68","113","53"
"20253","11110615","종로1?2?3?4가동","HH","정체","155","69","113","53"
"20253","11110600","가회동","LH","상권확장","107","62","113","53"
"20253","11110580","교남동","LH","상권확장","96","58","113","53"
"20253","11110570","무악동","HH","정체","113","65","113","53"
"20253","11110560","평창동","HH","정체","125","61","113","53"
"20253","11110550","부암동","HH","정체","119","58","113","53"
"20253","11110540","삼청동","LH","상권확장","103","58","113","53"
"20253","11110530","사직동","HH","정체","123","59","113","53"
"20253","11110515","청운효자동","LH","상권확장","104","55","113","53"
"20252","11740700","둔촌2동","HL","상권축소","118","51","112","53"
"20252","11740690","둔촌1동","LH","상권확장","32","66","112","53"
"20252","11740685","길동","LL","다이나믹","108","47","112","53"
"20252","11740660","성내3동","HL","상권축소","113","48","112","53"
"20252","11740650","성내2동","LL","다이나믹","110","46","112","53"
"20252","11740640","성내1동","HL","상권축소","113","51","112","53"
"20252","11740620","천호3동","LL","다이나믹","109","50","112","53"
"20252","11740610","천호2동","HL","상권축소","119","52","112","53"
"20252","11740600","천호1동","LL","다이나믹","111","46","112","53"
"20252","11740590","암사3동","LH","상권확장","96","54","112","53"
"20252","11740580","암사2동","HL","상권축소","115","50","112","53"
"20252","11740570","암사1동","LL","다이나믹","111","48","112","53"
"20252","11740560","고덕2동","LL","다이나믹","72","49","112","53"
"20252","11740550","고덕1동","LL","다이나믹","97","49","112","53"
"20252","11740540","명일2동","LH","상권확장","105","55","112","53"
"20252","11740530","명일1동","LL","다이나믹","103","49","112","53"
"20252","11740520","상일동","LL","다이나믹","92","50","112","53"
"20252","11740515","강일동","LL","다이나믹","71","45","112","53"
